kd_brg,nm_brg,hrg,jml,ktg
PRD090429,Pembalut Charm Cooling Fresh,18000,15,Perawatan Pribadi
PRD090430,Obat Nyamuk Baygon Bakar,,91,Lainnya
PRD090431,,Rp 23000,25,Rokok
PRD090432,Pembalut Charm Cooling Fresh,18000.00,71,Perawatan Pribadi
PRD090433,Coca Cola Botol 390ml,Rp 5000,14,Minuman
PRD090434,Indomie Goreng,3000,60,Makanan
PRD090435,Fanta Merah 390ml,,54,Minuman
PRD090436,Mie Sedap Goreng,2900.00,21,Makanan
PRD090437,Tisu Tessa 250s,Rp 17.000,-92,Lainnya
PRD090438,Garam Kapal 250g,3000,79,Bumbu
PRD090439,Teh Pucuk Harum 350ml,Rp 4000,,Minuman
PRD090440,Susu Indomilk Sachet,1500,89,Minuman
PRD090441,Shampo Sunsilk Sachet, 1500 ,87,Perawatan Pribadi
PRD090442,Deterjen Attack Jaz1 800g,Rp 19000,37,Pembersih
PRD090443,Pembersih Lantai Super Pell 770ml,13500,100,Pembersih
PRD090444,Sabun Lux Mawar,4500,51,Perawatan Pribadi
PRD090445,Deterjen Attack Jaz1 800g,Rp 19.000,2,Pembersih
PRD090446,Teh Sariwangi Celup,Rp 6500,34.0,Minuman
PRD090447,Kopi Nescafe Classic,5000,,Minuman
PRD090448,Beras Pandan Wangi 5kg,Rp 70.000,25,Sembako
PRD090449,Aqua Botol 600ml,3500,19,Minuman
PRD090450,Sabun Lux Mawar,Rp 4500,87,Perawatan Pribadi
PRD090451,Sabun Lifebuoy Merah,,-88,Perawatan Pribadi
PRD090452,Aqua Gelas 240ml,1000,65,Minuman
PRD090453,Coca Cola Botol 390ml,,21,Minuman
PRD090454,Sabun Lux Mawar,Rp 4500,74,Perawatan Pribadi
PRD090455,Popok Sweety Bronze Pants L,Rp 48000,30,Perawatan Bayi
PRD090456,Sabun Cuci Piring Mama Lemon 400ml,9500.00,21,Pembersih
PRD090457,Aqua Botol 600ml,3500,94,Minuman
,Saus Sambal Indofood 340ml,Rp 14500,38,Bumbu
PRD090459,Garam Kapal 250g,3000,89,Bumbu
PRD090460,Beras Pandan Wangi 5kg, 70000 ,91,Sembako
PRD090461,Pembersih Lantai Wipol 750ml,Rp 18000,-82,Pembersih
PRD090462,Sabun Cuci Piring Mama Lemon 400ml,,55,Pembersih
PRD090463,Minyak Filma 2L,34000.00,75,Sembako
,Tepung Tapioka Rose Brand 500g,Rp 8000,41,Sembako
PRD090465,Garam Refina 250g,Rp 3.500,31,Bumbu
PRD090466,Tepung Tapioka Rose Brand 500g,Rp 8.000,3,Sembako
PRD090467,Sabun Lifebuoy Merah,4000.00,99,Perawatan Pribadi
PRD090468,Garam Refina 250g,Rp 3.500,66,Bumbu
PRD090469,Tepung Terigu Segitiga Biru 1kg,13000,21,Sembako
PRD090470,Popok Sweety Bronze Pants L,Rp 48000,1,Perawatan Bayi
PRD090471,Aqua Galon,Rp 21000,47,Minuman
PRD090472,Mie Sedap Goreng,2900.00,11,Makanan
PRD090473,Gula Curah 1kg,15000.00,94,Sembako
PRD090474,Deterjen Rinso Anti Noda 700g,22000.00,45,Pembersih
PRD090475,Korek Api Gas Tokai,3000.00,78,Lainnya
PRD090476,Sabun Cuci Piring Sunlight 460ml,11000,54,Pembersih
PRD090477,Aqua Galon,21000,-80,Minuman
PRD090478,Saus Sambal ABC 340ml,15000,81,Bumbu
PRD090479,Deterjen Attack Jaz1 800g,19000,62,Pembersih
PRD090480,Tepung Tapioka Rose Brand 500g,8000,96,Sembako
PRD090481,Garam Refina 250g,3500,9,Bumbu
PRD090482,Popok Sweety Bronze Pants L,48000,84,Perawatan Bayi
PRD090483,Beras Rojolele 5kg,67000.00,81,Sembako
PRD090484,Kopi Torabika Susu,Rp 1500,17,Minuman
PRD090485,Garam Refina 250g,3500.00,52,Bumbu
PRD090486,Sikat Gigi Formula,,97,Perawatan Pribadi
PRD090487,Kopi Nescafe Classic,Rp 5000,22,Minuman
PRD090488,Popok Sweety Bronze Pants L,Rp 48.000,45,Perawatan Bayi
PRD090489,Shampo Pantene Sachet,Rp 1500,90.0,Perawatan Pribadi
PRD090490,Minyak Bimoli 2L,35000.00,8,Sembako
PRD090491,Rokok Djarum Super,22000.00,2.0,Rokok
PRD090492,Deterjen Daia 850g,Rp 18500,1,Pembersih
PRD090493,Bumbu Racik Indofood Nasi Goreng,Rp 2.500,-97,Bumbu
PRD090494,Susu Indomilk Sachet,,24,Minuman
PRD090495,Beras Pandan Wangi 5kg, 70000 ,9.0,Sembako
PRD090496,Pembalut Charm Cooling Fresh,Rp 18.000,29,Perawatan Pribadi
PRD090497,Kecap ABC Pouch 220ml,Rp 9.500,78,Bumbu
PRD090498,Obat Nyamuk Hit Spray, 35000 ,36,Lainnya
PRD090499,Garam Kapal 250g,3000,16,Bumbu
PRD090500,Rokok Gudang Garam Filter,23000,25,Rokok
PRD090501,Indomie Kuah Ayam Bawang,2800,9,Makanan
PRD090502,Margarin Forvita 200g,,48,Sembako
PRD090503,Sabun Lifebuoy Merah,4000.00,99,Perawatan Pribadi
PRD090504,Popok Sweety Bronze Pants L,Rp 48000,85,Perawatan Bayi
PRD090505,Kopi Luwak White Koffie,Rp 2.000,97,Minuman
PRD090506,,31000,28,Rokok
PRD090507,Saus Sambal Indofood 340ml,Rp 14500,80,Bumbu
PRD090508,Coca Cola Botol 390ml,5000.00,39,Minuman
PRD090509,Popok Sweety Bronze Pants L,48000,47,Perawatan Bayi
PRD090510,Minyak Bimoli 2L,Rp 35.000,64,Sembako
PRD090511,Indomie Kari Ayam,2800,24,Makanan
PRD090512,Indomie Goreng,3000.00,72,Makanan
PRD090513,Beras Rojolele 5kg,,9,Sembako
PRD090514,Pembersih Lantai Super Pell 770ml,13500,94.0,Pembersih
PRD090515,Fanta Merah 390ml,Rp 5.000,95.0,Minuman
PRD090516,Pasta Gigi Ciptadent 190g,Rp 10000,92,Perawatan Pribadi
PRD090517,Saus Sambal ABC 340ml,15000.00,56,
PRD090518,Teh Sariwangi Celup, 6500 ,92,Minuman
PRD090519,,Rp 34.000,30,Sembako
PRD090520,Deterjen Attack Jaz1 800g, 19000 ,37,Pembersih
PRD090521,Le Minerale 600ml,Rp 3.500,96,Minuman
PRD090522,Margarin Forvita 200g,Rp 7.000,36,Sembako
PRD090523,Susu Bear Brand,10500,78,Minuman
PRD090524,Sabun Nuvo Biru,3500,14,Perawatan Pribadi
PRD090525,Pembalut Charm Cooling Fresh,Rp 18.000,61,
PRD090526,Bumbu Racik Indofood Nasi Goreng,Rp 2.500,92,Bumbu
PRD090527,Pasta Gigi Pepsodent 190g,12500,43,Perawatan Pribadi
PRD090528,Coca Cola Botol 390ml,Rp 5000,24,Minuman
PRD090529,Teh Celup Sosro,7000,86,Minuman
PRD090530,Sabun Lifebuoy Merah,4000,87,Perawatan Pribadi
PRD090531,Rokok Djarum Super, 22000 ,82,Rokok
PRD090532,Beras Rojolele 5kg,67000,84,Sembako
PRD090533,Sabun Lifebuoy Merah,4000,80.0,Perawatan Pribadi
PRD090534,Coca Cola Botol 390ml,5000.00,16,Minuman
PRD090535,Susu Frisian Flag Sachet,Rp 1500,64,Minuman
PRD090536,Coca Cola Botol 390ml,5000,16,Minuman
PRD090537,Rokok Marlboro Merah,,39,Rokok
PRD090538,Kapur Barus Bagus,Rp 15.000,3,Lainnya
PRD090539,, 34500 ,23.0,Sembako
PRD090540,Pembersih Lantai Wipol 750ml,18000.00,99,Pembersih
PRD090541,Korek Api Gas Tokai,3000.00,3,Lainnya
PRD090542,Pembalut Laurier Relax Night,20000,9,Perawatan Pribadi
PRD090543,Fanta Merah 390ml,5000,18.0,Minuman
PRD090544,Beras Pandan Wangi 5kg,Rp 70.000,6,Sembako
PRD090545,Saus Sambal Indofood 340ml, 14500 ,82.0,Bumbu
PRD090546,Beras Pandan Wangi 5kg,70000,15,Sembako
PRD090547,Tepung Beras Rose Brand 500g,7500.00,-51,Sembako
PRD090548,Indomie Kuah Soto,2800,,Makanan
PRD090549,Baterai Alkalin AA (2 pcs),15000,58,Lainnya
PRD090550,Beras Rojolele 5kg,67000,35,Sembako
PRD090551,Coca Cola Botol 390ml,5000.00,4.0,Minuman
PRD090552,Tepung Tapioka Rose Brand 500g,Rp 8.000,78,Sembako
PRD090553,Margarin Blue Band 200g,Rp 9500,22,Sembako
PRD090554,Minyak Sania 2L,34500,75,
PRD090555,Sabun Cuci Piring Sunlight 460ml,Rp 11000,45,Pembersih
PRD090556,Indomie Kuah Ayam Bawang,Rp 2.800,86,Makanan
PRD090557,Teh Sariwangi Celup,Rp 6500,17,Minuman
PRD090558,Beras Pandan Wangi 5kg,Rp 70000,33,Sembako
,Shampo Clear Sachet,1500,52,Perawatan Pribadi
,Minyak Bimoli 2L,Rp 35.000,54,Sembako
PRD090561,Baterai Alkalin AA (2 pcs),Rp 15.000,1,Lainnya
PRD090562,Baterai Alkalin AA (2 pcs),15000,98,Lainnya
PRD090563,Susu Indomilk Sachet,Rp 1500,-26,Minuman
PRD090564,Kapur Barus Bagus,15000.00,22,Lainnya
PRD090565,Gula Pasir Gulaku 1kg,16000.00,-41,Sembako
PRD090566,Deterjen Attack Jaz1 800g,19000.00,81,Pembersih
PRD090567,Beras Rojolele 5kg,67000,20,Sembako
PRD090568,Kecap ABC Pouch 220ml,9500,57,Bumbu
PRD090569,Indomie Kari Ayam,2800,-61,Makanan
PRD090570,Aqua Botol 600ml,3500,-88,
PRD090571,Obat Nyamuk Hit Spray,35000.00,52,Lainnya
PRD090572,Indomie Kuah Soto,2800.00,91,Makanan
,Indomie Kuah Soto, 2800 ,-85,Makanan
PRD090574,Indomie Kari Ayam,2800.00,50,Makanan
PRD090575,Shampo Sunsilk Sachet, 1500 ,26,Perawatan Pribadi
PRD090576,Shampo Lifebuoy Sachet,1000,91,Perawatan Pribadi
PRD090577,Bumbu Racik Indofood Sayur Asem,2500.00,9,Bumbu
PRD090578,Minyak Sania 2L,,7,Sembako
PRD090579,Sabun Lux Mawar,Rp 4500,5,Perawatan Pribadi
PRD090580,Shampo Sunsilk Sachet,1500,65,Perawatan Pribadi
PRD090581,Rokok Marlboro Merah,,18,Rokok
PRD090582,Saus Sambal Indofood 340ml, 14500 ,83,Bumbu
PRD090583,Margarin Blue Band 200g,Rp 9500,80,Sembako
PRD090584,Baterai Alkalin AA (2 pcs),15000.00,78,
PRD090585,Sabun Cuci Piring Mama Lemon 400ml,9500,65,Pembersih
PRD090586,Tisu Paseo 250s, 18500 ,3,Lainnya
PRD090587,Gula Pasir Gulaku 1kg,16000,21,Sembako
,Susu Indomilk Sachet,Rp 1500,79,Minuman
PRD090589,Bumbu Racik Indofood Nasi Goreng,Rp 2.500,100,Bumbu
PRD090590,Bumbu Racik Indofood Sayur Asem, 2500 ,-11,Bumbu
PRD090591,Beras Ramos 5kg,65000,67,Sembako
PRD090592,Tepung Terigu Segitiga Biru 1kg,13000,47,Sembako
PRD090593,Tepung Tapioka Rose Brand 500g,Rp 8.000,71,Sembako
PRD090594,Deterjen Rinso Anti Noda 700g,22000,21,Pembersih
PRD090595,Rokok Djarum Super,Rp 22.000,-97,Rokok
PRD090596,Tepung Tapioka Rose Brand 500g,Rp 8.000,43,Sembako
PRD090597,Popok Sweety Bronze Pants L,48000,100,Perawatan Bayi
PRD090598,Sabun Lux Mawar,4500,-28,Perawatan Pribadi
PRD090599,Deterjen Rinso Anti Noda 700g,22000,24,Pembersih
PRD090600,Tepung Terigu Segitiga Biru 1kg, 13000 ,88,Sembako
,Indomie Goreng,Rp 3000,7,Makanan
PRD090602,Baterai ABC Sedang (2 pcs),Rp 10.000,55,
PRD090603,Baterai ABC Sedang (2 pcs), 10000 ,50,Lainnya
PRD090604,Deterjen Rinso Anti Noda 700g,22000.00,28,Pembersih
PRD090605,Tepung Beras Rose Brand 500g,7500,45,Sembako
PRD090606,Shampo Lifebuoy Sachet,Rp 1000,72,Perawatan Pribadi
PRD090607,Sprite Botol 390ml,,-63,Minuman
PRD090608,Beras Pandan Wangi 5kg,70000,47,Sembako
PRD090609,Fanta Merah 390ml,Rp 5.000,38.0,Minuman
,Aqua Botol 600ml, 3500 ,4,Minuman
PRD090611,Indomie Kuah Ayam Bawang,Rp 2800,12,Makanan
PRD090612,Le Minerale 600ml,3500,61,Minuman
PRD090613,Garam Refina 250g,3500.00,92,Bumbu
PRD090614,Indomie Kuah Ayam Bawang,2800.00,25.0,Makanan
PRD090615,Gula Curah 1kg,Rp 15.000,-74,Sembako
PRD090616,Shampo Pantene Sachet,Rp 1500,70.0,Perawatan Pribadi
PRD090617,Minyak Bimoli 2L,35000,92,Sembako
PRD090618,Sabun Lifebuoy Merah,4000,16,Perawatan Pribadi
,Teh Pucuk Harum 350ml,,30,Minuman
PRD090620,Deterjen Attack Jaz1 800g, 19000 ,72,
PRD090621,Kopi Kapal Api Sachet,1500,7,Minuman
PRD090622,Susu Dancow Sachet,3500.00,30,Minuman
PRD090623,Deterjen Rinso Anti Noda 700g,22000,-85,Pembersih
PRD090624,Pasta Gigi Ciptadent 190g,10000,7,Perawatan Pribadi
PRD090625,Tepung Beras Rose Brand 500g,,76,Sembako
PRD090626,Kecap Bango Pouch 220ml, 11000 ,59,Bumbu
PRD090627,Rokok Djarum Super,Rp 22000,49,Rokok
PRD090628,Kopi Luwak White Koffie,Rp 2000,28,Minuman
PRD090629,Sabun Lifebuoy Merah,Rp 4.000,17,Perawatan Pribadi
PRD090630,Rokok Sampoerna Mild,30000,58,Rokok
PRD090631,Fanta Merah 390ml,Rp 5.000,78,Minuman
PRD090632,Pembersih Lantai Wipol 750ml,18000.00,76,Pembersih
PRD090633,Shampo Lifebuoy Sachet,1000.00,-91,Perawatan Pribadi
PRD090634,Baterai ABC Sedang (2 pcs), 10000 ,-49,Lainnya
PRD090635,Sabun Lux Mawar,Rp 4.500,73,Perawatan Pribadi
PRD090636,Tepung Terigu Segitiga Biru 1kg,13000,15,Sembako
PRD090637,Pembersih Lantai Wipol 750ml,18000.00,,Pembersih
PRD090638,Gula Curah 1kg,15000.00,29.0,Sembako
PRD090639,Susu Bear Brand,10500.00,,Minuman
PRD090640,Sabun Nuvo Biru,Rp 3500,80,Perawatan Pribadi
PRD090641,,Rp 2.800,94,Makanan
PRD090642,,19000,80,Pembersih
PRD090643,Indomie Kuah Soto,2800,82,Makanan
PRD090644,Kecap Bango Pouch 220ml,11000.00,-91,Bumbu
PRD090645,Kecap Bango Pouch 220ml,Rp 11000,19,Bumbu
PRD090646,Indomie Kari Ayam,Rp 2.800,30,Makanan
PRD090647,Susu Dancow Sachet,3500,60.0,Minuman
PRD090648,Tisu Tessa 250s, 17000 ,70,Lainnya
PRD090649,Aqua Gelas 240ml,Rp 1000,45,Minuman
PRD090650,Tepung Terigu Segitiga Biru 1kg, 13000 ,46,Sembako
PRD090651,Sabun Cuci Piring Mama Lemon 400ml,9500.00,48,Pembersih
PRD090652,Pembersih Lantai Super Pell 770ml,Rp 13500,93,Pembersih
,Sabun Cuci Piring Sunlight 460ml,Rp 11.000,1.0,Pembersih
PRD090654,Coca Cola Botol 390ml,Rp 5.000,13,Minuman
PRD090655,Tepung Tapioka Rose Brand 500g,8000.00,3,Sembako
PRD090656,Shampo Lifebuoy Sachet,Rp 1000,,Perawatan Pribadi
PRD090657,Indomie Kuah Ayam Bawang, 2800 ,76,Makanan
PRD090658,,17000,-49,Lainnya
PRD090659,Pembalut Charm Cooling Fresh,18000.00,97,Perawatan Pribadi
PRD090660,Susu Dancow Sachet,3500.00,53,Minuman
PRD090661,Minyak Sania 2L,Rp 34.500,46,Sembako
PRD090662,Susu Frisian Flag Sachet,Rp 1500,88,Minuman
PRD090663,Korek Api Gas Tokai,3000,-1,Lainnya
PRD090664,Deterjen Attack Jaz1 800g,19000,11,Pembersih
PRD090665,Sabun Mandi Dettol,5000.00,2,Perawatan Pribadi
PRD090666,Garam Kapal 250g,3000,65,Bumbu
PRD090667,,Rp 19000,-77,Pembersih
PRD090668,Tisu Paseo 250s,18500,16,Lainnya
PRD090669,Sabun Mandi Dettol,5000,,Perawatan Pribadi
PRD090670,,Rp 30000,38,Rokok
PRD090671,Susu Bear Brand,Rp 10500,4,Minuman
PRD090672,Rokok Marlboro Merah,38000,64,Rokok
PRD090673,Shampo Pantene Sachet,1500,51,Perawatan Pribadi
,Teh Celup Sosro,7000.00,-13,Minuman
PRD090675,Margarin Blue Band 200g,Rp 9.500,51,Sembako
PRD090676,Shampo Pantene Sachet,Rp 1500,56,Perawatan Pribadi
PRD090677,Gula Curah 1kg,15000,9,Sembako
PRD090678,Tepung Tapioka Rose Brand 500g,Rp 8.000,78,Sembako
PRD090679,Susu Indomilk Sachet,,86.0,Minuman
PRD090680,Kopi Torabika Susu,1500.00,42,Minuman
PRD090681,Garam Kapal 250g,3000.00,-42,Bumbu
PRD090682,Deterjen Attack Jaz1 800g,19000.00,33,Pembersih
PRD090683,Sprite Botol 390ml,Rp 5.000,74,Minuman
PRD090684,Sabun Lux Mawar,Rp 4.500,,Perawatan Pribadi
PRD090685,Tisu Paseo 250s,Rp 18.500,,Lainnya
PRD090686,Teh Celup Sosro,7000,85,Minuman
PRD090687,Sabun Lifebuoy Merah,4000,30.0,Perawatan Pribadi
PRD090688,Pembersih Lantai Wipol 750ml, 18000 ,-38,Pembersih
PRD090689,,Rp 34.500,-58,Sembako
PRD090690,Bumbu Racik Indofood Sayur Asem,2500,55,Bumbu
PRD090691,Baterai Alkalin AA (2 pcs),Rp 15000,-8,Lainnya
PRD090692,Teh Sariwangi Celup,Rp 6.500,3.0,Minuman
PRD090693,Sabun Lifebuoy Merah,,87,
PRD090694,Pembalut Laurier Relax Night,20000,85,Perawatan Pribadi
PRD090695,Tepung Terigu Segitiga Biru 1kg,Rp 13000,55,Sembako
PRD090696,Mie Sedap Goreng,Rp 2900,88,Makanan
PRD090697,Gula Pasir Gulaku 1kg,Rp 16000,10,
PRD090698,,21000.00,78,Minuman
PRD090699,Gula Curah 1kg,Rp 15.000,79.0,Sembako
PRD090700,Sabun Lux Mawar, 4500 ,35,Perawatan Pribadi
PRD090701,Sikat Gigi Formula,6000,27,Perawatan Pribadi
PRD090702,Susu Bear Brand, 10500 ,7,Minuman
PRD090703,Teh Sariwangi Celup,6500,0,Minuman
PRD090704,Rokok Surya 16,Rp 31.000,73,Rokok
PRD090705,Obat Nyamuk Hit Spray,35000,75,Lainnya
PRD090706,Bumbu Racik Indofood Sayur Asem,2500,37,Bumbu
PRD090707,Kopi Luwak White Koffie,Rp 2000,-33,Minuman
PRD090708,Pembersih Lantai Super Pell 770ml,13500.00,40,Pembersih
PRD090709,Rokok Gudang Garam Filter,,50,Rokok
PRD090710,Kapur Barus Bagus,15000.00,60,Lainnya
,Susu Dancow Sachet,3500.00,95.0,Minuman
PRD090712,Bumbu Racik Indofood Sayur Asem,2500,91,Bumbu
PRD090713,,34500,1,Sembako
PRD090714,Kopi Luwak White Koffie, 2000 ,100,Minuman
PRD090715,Shampo Sunsilk Sachet,1500,-29,Perawatan Pribadi
PRD090716,Sabun Lifebuoy Merah,4000,37,Perawatan Pribadi
,, 12500 ,-100,Perawatan Pribadi
PRD090718,, 3000 ,96,Lainnya
PRD090719,Kopi Torabika Susu,1500,83,Minuman
PRD090720,Sabun Mandi Dettol, 5000 ,92,Perawatan Pribadi
PRD090721,,Rp 3.500,9.0,Minuman
PRD090722,Kopi Torabika Susu,Rp 1.500,24,Minuman
PRD090723,Tisu Paseo 250s,18500,67,Lainnya
PRD090724,Indomie Kari Ayam,Rp 2800,-63,Makanan
PRD090725,Sabun Nuvo Biru,Rp 3.500,70,Perawatan Pribadi
PRD090726,Minyak Filma 2L,Rp 34.000,26,Sembako
PRD090727,Susu Dancow Sachet,3500,73,Minuman
PRD090728,Saus Sambal ABC 340ml,15000.00,73,Bumbu
PRD090729,Beras Ramos 5kg, 65000 ,96.0,Sembako
PRD090730,Kecap ABC Pouch 220ml,Rp 9500,28.0,Bumbu
PRD090731,Pasta Gigi Ciptadent 190g,10000,-4,Perawatan Pribadi
PRD090732,Teh Celup Sosro,Rp 7.000,5,Minuman
PRD090733,Tepung Terigu Segitiga Biru 1kg,Rp 13000,74,Sembako
,Shampo Clear Sachet,1500,,Perawatan Pribadi
PRD090735,Saus Sambal Indofood 340ml,Rp 14500,-57,Bumbu
PRD090736,Popok Sweety Bronze Pants L,Rp 48000,30,Perawatan Bayi
PRD090737,Kecap ABC Pouch 220ml,Rp 9.500,41,Bumbu
PRD090738,Pasta Gigi Pepsodent 190g,12500,33,Perawatan Pribadi
PRD090739,Garam Refina 250g,3500.00,1,Bumbu
PRD090740,Teh Sariwangi Celup,Rp 6.500,66,Minuman
PRD090741,Teh Sariwangi Celup,6500.00,3,Minuman
PRD090742,Minyak Curah 1L,16000,30,Sembako
PRD090743,Sprite Botol 390ml,5000,14,Minuman
PRD090744,,70000.00,58,Sembako
PRD090745,Rokok Surya 16, 31000 ,-22,Rokok
PRD090746,Sabun Lux Mawar,Rp 4.500,,Perawatan Pribadi
PRD090747,Margarin Forvita 200g,7000.00,49,Sembako
PRD090748,Kopi Kapal Api Sachet,Rp 1.500,5,Minuman
PRD090749,Pasta Gigi Pepsodent 190g,12500.00,78,Perawatan Pribadi
PRD090750,Indomie Goreng,3000,66,
PRD090751,Obat Nyamuk Hit Spray,Rp 35000,6,Lainnya
PRD090752,Tisu Tessa 250s,Rp 17.000,-43,Lainnya
PRD090753,Rokok Gudang Garam Filter,23000,88,
PRD090754,Shampo Sunsilk Sachet,1500,1,Perawatan Pribadi
PRD090755,Aqua Gelas 240ml,1000,56,Minuman
PRD090756,Aqua Gelas 240ml,1000,53.0,Minuman
PRD090757,Minyak Filma 2L, 34000 ,16,Sembako
PRD090758,Pembalut Charm Cooling Fresh,18000.00,11,Perawatan Pribadi
PRD090759,Sprite Botol 390ml,Rp 5.000,18,Minuman
PRD090760,Bumbu Racik Indofood Nasi Goreng,Rp 2.500,19,Bumbu
PRD090761,Pasta Gigi Ciptadent 190g,10000.00,0,Perawatan Pribadi
PRD090762,Shampo Clear Sachet,Rp 1500,71,Perawatan Pribadi
PRD090763,Bumbu Racik Indofood Sayur Asem,Rp 2.500,31,Bumbu
PRD090764,Bumbu Racik Indofood Nasi Goreng,2500,83,Bumbu
PRD090765,Tisu Paseo 250s,Rp 18500,-93,Lainnya
PRD090766,Minyak Sania 2L,34500,-31,Sembako
PRD090767,Teh Pucuk Harum 350ml,4000,44,Minuman
PRD090768,Saus Sambal Indofood 340ml,14500,,Bumbu
PRD090769,Korek Api Gas Tokai,3000,69,Lainnya
PRD090770,Coca Cola Botol 390ml,5000,15,Minuman
PRD090771,Pasta Gigi Ciptadent 190g,10000,-34,Perawatan Pribadi
PRD090772,Baterai ABC Sedang (2 pcs),Rp 10000,63,Lainnya
PRD090773,Tepung Tapioka Rose Brand 500g,Rp 8000,18,Sembako
PRD090774,Sabun Cuci Piring Mama Lemon 400ml,9500.00,99,Pembersih
PRD090775,Shampo Pantene Sachet,1500,69,Perawatan Pribadi
PRD090776,Kopi Luwak White Koffie,2000,28,Minuman
PRD090777,,12500,54.0,Perawatan Pribadi
PRD090778,Margarin Forvita 200g,Rp 7.000,32,Sembako
PRD090779,Minyak Filma 2L,Rp 34000,98,Sembako
PRD090780,Kopi Torabika Susu,Rp 1.500,78,Minuman
PRD090781,Fanta Merah 390ml,5000,91.0,Minuman
PRD090782,Minyak Sania 2L,Rp 34.500,93,Sembako
PRD090783,Baterai Alkalin AA (2 pcs),15000,37.0,Lainnya
PRD090784,,4000,,Minuman
PRD090785,Aqua Botol 600ml,3500.00,86,Minuman
PRD090786,Shampo Sunsilk Sachet,1500.00,29,Perawatan Pribadi
PRD090787,Tepung Beras Rose Brand 500g,Rp 7500,72,Sembako
PRD090788,Tepung Terigu Segitiga Biru 1kg,Rp 13.000,87,Sembako
PRD090789,Gula Curah 1kg,15000,52.0,Sembako
PRD090790,Bumbu Racik Indofood Sayur Asem,Rp 2.500,58,Bumbu
PRD090791,Garam Kapal 250g,Rp 3.000,76,Bumbu
PRD090792,Pasta Gigi Ciptadent 190g,10000.00,13,
PRD090793,,1500,47,Minuman
PRD090794,Kopi Torabika Susu,1500,45,Minuman
PRD090795,Aqua Botol 600ml,3500,89.0,Minuman
PRD090796,Tepung Terigu Segitiga Biru 1kg,13000,38,Sembako
PRD090797,Deterjen Daia 850g,18500.00,6,Pembersih
PRD090798,Susu Dancow Sachet,3500.00,93,Minuman
PRD090799,Tisu Tessa 250s,Rp 17.000,-88,Lainnya
PRD090800,Sabun Mandi Dettol,5000,34,Perawatan Pribadi
PRD090801,Indomie Goreng,3000.00,15,Makanan
PRD090802,Baterai Alkalin AA (2 pcs),15000.00,28,Lainnya
PRD090803,Tepung Terigu Segitiga Biru 1kg,Rp 13.000,30,Sembako
PRD090804,Minyak Bimoli 2L, 35000 ,98,Sembako
PRD090805,Deterjen Rinso Anti Noda 700g,22000,99.0,Pembersih
PRD090806,Saus Sambal Indofood 340ml,14500.00,53,Bumbu
PRD090807,Minyak Bimoli 2L, 35000 ,71,Sembako
PRD090808,Garam Refina 250g,Rp 3500,-98,Bumbu
PRD090809,Pembersih Lantai Super Pell 770ml,13500.00,32,Pembersih
PRD090810,Sabun Mandi Dettol,5000.00,67,
PRD090811,Pembersih Lantai Wipol 750ml,18000,53,Pembersih
PRD090812,Beras Ramos 5kg,Rp 65.000,52,Sembako
PRD090813,Deterjen Rinso Anti Noda 700g,22000.00,30,Pembersih
PRD090814,Pasta Gigi Pepsodent 190g,12500.00,56,Perawatan Pribadi
PRD090815,Tepung Beras Rose Brand 500g,Rp 7500,62,Sembako
PRD090816,Margarin Forvita 200g,Rp 7000,58,Sembako
PRD090817,Fanta Merah 390ml,5000,51,Minuman
PRD090818,Garam Kapal 250g,3000.00,83,Bumbu
PRD090819,Susu Dancow Sachet,Rp 3500,-24,Minuman
PRD090820,Susu Bear Brand, 10500 ,67,Minuman
PRD090821,Kecap ABC Pouch 220ml,Rp 9.500,9,Bumbu
PRD090822,Popok Sweety Bronze Pants L,48000,-94,Perawatan Bayi
PRD090823,Susu Dancow Sachet,3500,60,Minuman
PRD090824,Kopi Luwak White Koffie,Rp 2.000,17,Minuman
,Tisu Tessa 250s,17000,36,Lainnya
PRD090826,Tepung Terigu Segitiga Biru 1kg,Rp 13.000,2.0,Sembako
PRD090827,Pasta Gigi Pepsodent 190g,12500.00,87,Perawatan Pribadi
PRD090828,Bumbu Racik Indofood Nasi Goreng,2500,62,Bumbu
PRD090829,Tisu Tessa 250s,17000,,Lainnya
PRD090830,Obat Nyamuk Hit Spray,Rp 35.000,3,Lainnya
PRD090831,Beras Pandan Wangi 5kg,Rp 70.000,34,Sembako
PRD090832,Tepung Tapioka Rose Brand 500g,Rp 8000,,Sembako
PRD090833,Gula Pasir Gulaku 1kg,Rp 16.000,89,Sembako
PRD090834,Teh Sariwangi Celup,6500,69,Minuman
PRD090835,Aqua Botol 600ml,Rp 3500,58,Minuman
PRD090836,Aqua Galon,21000,70,Minuman
PRD090837,Sabun Lifebuoy Merah,Rp 4000,35.0,Perawatan Pribadi
PRD090838,Kopi Nescafe Classic,5000,65,Minuman
PRD090839,,Rp 14.500,23,Bumbu
PRD090840,Bumbu Racik Indofood Sayur Asem,2500,-98,Bumbu
PRD090841,Indomie Kuah Soto,Rp 2800,80,Makanan
PRD090842,Shampo Lifebuoy Sachet,1000.00,2.0,Perawatan Pribadi
PRD090843,Indomie Goreng,3000,55,Makanan
PRD090844,Garam Kapal 250g,3000,12.0,Bumbu
PRD090845,Deterjen Rinso Anti Noda 700g,22000,63.0,Pembersih
PRD090846,Kopi ABC Susu,1500,55,Minuman
